id,name,lat,lon
584204204e65fad6a77095ed,Noordwijk,52.2494,4.42795
584204204e65fad6a77095ef,Katwijk aan Zee,52.20636,4.38918
584204204e65fad6a77095ee,Wassenaar,52.15655,4.33412
584204204e65fad6a77095f0,Scheveningen,52.11308,4.27183
584204204e65fad6a77095f4,Kijkduin,52.06916,4.21331
584204204e65fad6a77095f3,Ter Heijde,52.03305,4.15956
584204204e65fad6a77095f5,S'Gravenzande,52.01553,4.132653
640b96ed4878eb8b251cd655,Vlugtenburg,52.0040442,4.1245
584204204e65fad6a77095f2,Hoek van Holland,51.99139,4.09828
640b96924878eb33f91cc2a4,Blokken,51.9533,4.0123
584204204e65fad6a77095f6,Maasvlakte,51.94281,3.99988
640b967ade81d57ea20cadbd,Slufter,51.9306,3.9898
584204204e65fad6a77095f8,Ouddorp,51.8305,3.90319
584204204e65fad6a77095f7,Renesse,51.73955,3.71604
640b9699b6d76916219392ae,Schouwen Duiveland,51.7297,3.6923
584204204e65fad6a77095f9,Domburg,51.56766,3.49056
584204204e65fad6a77095fb,Dishoek,51.4891,3.498379
640b969fb6d7691c96939475,Vlissingen,51.4528,3.5416
584204204e65fad6a77095fa,Cadzand,51.3697,3.36841
640b970ab6d76928fa93aac0,De Panne,51.1008,2.5812
584204204e65fad6a7709608,Oostduinkerke,51.137377,2.66377
640b9a024519058f3bdfce2d,Groenendijk Strand,51.15,2.7
584204204e65fad6a7709609,Nieuwpoort,51.15507,2.714193
584204204e65fad6a7709607,Westende,51.168606,2.75655
584204204e65fad6a7709606,Middelkerke,51.189911,2.80633
584204204e65fad6a7709605,Raversijde,51.20193,2.83914
584204204e65fad6a7709604,Ollie's Point,51.21865,2.87465
584204204e65fad6a7709603,Mariakerke,51.223697,2.88283
584204204e65fad6a7709602,Oostende,51.228303,2.88923
640b9704606c45de6df316f9,T'ooster,51.2395,2.927
584204204e65fad6a7709601,Bredene,51.249555,2.94987
584204204e65fad6a7709600,De Haan,51.28129,3.031298
584204204e65fad6a77095ff,Blankenberge,51.32112,3.13466
584204204e65fad6a77095fe,Zeebrugge,51.3333,3.166875
584204204e65fad6a77095fd,Knokke-Heist,51.349638,3.240452
640b96fe4519055bfadf2515,Surfers Paradise,51.3527,3.2545
640b9710de81d52b200ccef8,Albertstrand,51.3526,3.2827
6418e04a970272093b873860,Calais,50.9787,1.8958
6418e050e072f80237025207,Cap Gris-Nez,50.8708,1.5906
6418e0576478f04331fa4eed,Wimereux,50.7646,1.5945
6418e2e393265bd05e18b9e4,Plage des Bains,50.7333,1.5833
6418e2f693265b6fc018be43,Plage de Fort-Mahon,50.3333,1.55
6418e6669702728744888654,Pourville-sur-Mer,49.917703,1.0306
6418dcc39702727ef286792b,Petites Dalles,49.8256,0.5232
6418dcbda34c33836e1761ad,Yport,49.7415,0.3063
6425a9b0d92eccf4628b0826,Vaucottes,49.7382,0.2901
